County,Three Digit County Code,AVG_Crime_Rate,Crime_Rate20,Crime_Rate19,Crime_Rate18,Crime_Rate17,Crime_Rate16,Total_Miles
Schuyler,97,1973.114672,1095.094424,370.5367168,336.2851698,390.8431044,656.4307966,0 0 0 0 0 
Seneca,,,,,,,,
St. Lawrence,89,6136.595148,4169.393116,1033.721211,1290.839737,1390.11474,1588.040838,0 0 0 0 0 
Steuben,101,5663.141979,3688.664729,948.3048003,1087.86349,1315.639299,1573.601444,0 0 0 0 0 0 0 0 
Suffolk,103,6461.979444,4756.999056,1230.717197,1280.26176,1446.360915,1553.239761,"32,954,728 76,263,570 644,489 30,606,878 74,329,400 586,655 27,882,104 73,791,820 502,809 26,180,648 74,435,077 15,922,070 23,671,377 268,357 "
Sullivan,105,7153.29856,4333.507114,1347.434184,1589.259893,1709.333333,1640.569728,0 0 0 0 0 
Tioga,,,,,,,,
Tompkins,109,9128.426722,8046.150936,1829.93204,1875.329648,1914.709289,1899.225559,"10,179,113 10,085,839 11,554,814 11,737,736 4,400,847 "
Ulster,111,6205.303345,4168.247631,1188.087651,1267.155902,1439.686538,1476.723729,"41,597,934 4,108,254 0 41,243,072 3,639,455 0 41,046,163 3,600,877 0 38,171,250 1,683,618 10,563,655 "
Warren,113,7061.844601,4514.961133,1139.418568,1482.82998,1675.309754,1861.294072,0 0 0 0 0 
Washington,,,,,,,,
Wayne,117,7626.011414,5880.613039,1363.899528,1645.766286,1653.230711,1786.992282,0 0 0 0 0 
Westchester,119,5321.193862,4104.506216,997.8656991,1016.174576,1193.77382,1292.478523,"143,792,577 124,225,106 118,800,235 114,898,810 67,733,951 "
Wyoming,121,3742.962153,3000.172707,644.789001,831.0871518,858.6460195,808.4054388,0 0 0 0 0 
Yates,,,,,,,,
